"LINESTRING( 86.69871521 22.8504161835 , 86.6963729858 22.8442935944 )" : 0
"LINESTRING( 86.69871521 22.8504161835 , 86.7093276978 22.8460254669 )" : 0
"LINESTRING( 86.7013168335 22.9065570831 , 86.704574585 22.9018993378 )" : 0
"LINESTRING( 86.7051239014 22.8383159637 , 86.7015228271 22.840593338 )" : 0
"LINESTRING( 86.7058486938 22.7562179565 , 86.693611145 22.7697792053 )" : 0
"LINESTRING( 86.7075805664 22.8706321716 , 86.7037734985 22.8709354401 )" : 0
"LINESTRING( 86.7075805664 22.8706321716 , 86.7104415894 22.8586654663 )" : 0
"LINESTRING( 86.7075805664 22.8706321716 , 86.717880249 22.8823356628 )" : 0
"LINESTRING( 86.7078094482 22.8835334778 , 86.717880249 22.8823356628 )" : 0
"LINESTRING( 86.7093276978 22.8460254669 , 86.7162322998 22.8444766998 )" : 0
"LINESTRING( 86.710319519 22.7688846588 , 86.70728302 22.7707633972 )" : 0
"LINESTRING( 86.710319519 22.7688846588 , 86.7148208618 22.7689380646 )" : 0
"LINESTRING( 86.7113265991 22.8568496704 , 86.7093276978 22.8460254669 )" : 0
"LINESTRING( 86.7113265991 22.8568496704 , 86.7104415894 22.8586654663 )" : 0
"LINESTRING( 86.7113265991 22.8568496704 , 86.7191085815 22.850812912 )" : 0
"LINESTRING( 86.7120819092 22.9204063416 , 86.7085494995 22.9222106934 )" : 0
"LINESTRING( 86.7120819092 22.9204063416 , 86.7251586914 22.9125156403 )" : 0
"LINESTRING( 86.713394165 22.7863998413 , 86.70728302 22.7707633972 )" : 0
"LINESTRING( 86.713394165 22.7863998413 , 86.7400970459 22.7747917175 )" : 0
"LINESTRING( 86.7162322998 22.8444766998 , 86.717414856 22.8425788879 )" : 0
"LINESTRING( 86.7162322998 22.8444766998 , 86.7191085815 22.850812912 )" : 0
"LINESTRING( 86.7190551758 22.8052425385 , 86.6965637207 22.8108463287 )" : 0
"LINESTRING( 86.7190933228 22.8413944244 , 86.717414856 22.8425788879 )" : 0
